id,epsilon
12000,0.500
12001,0.500
12002,0.500
12003,0.500
12004,0.500
12005,0.500
12006,0.500
12007,0.500
12008,0.500
12009,0.500
12010,0.500
12011,0.500
12012,0.500
12013,0.500
12014,0.500
12015,0.500
12016,0.500
12017,0.500
12018,0.500
12019,0.500
12020,0.500
12021,0.500
12022,0.500
12023,0.500
12024,0.500
12025,0.500
12026,0.500
12027,0.500
12028,0.500
12029,0.500
12030,0.500
12031,0.500
12032,0.500
12033,0.500
12034,0.500
12035,0.500
12036,0.500
12037,0.500
12038,0.500
12039,0.500
12040,0.500
12041,0.500
12042,0.500
12043,0.500
12044,0.500
12045,0.500
12046,0.500
12047,0.500
12048,0.500
12049,0.500
12050,0.500
12051,0.500
12052,0.500
12053,0.500
12054,0.500
12055,0.500
12056,0.500
12057,0.500
12058,0.500
12059,0.500
12060,0.500
12061,0.500
12062,0.500
12063,0.500
12064,0.500
12065,0.500
12066,0.500
12067,0.500
12068,0.500
12069,0.500
12070,0.500
12071,0.500
12072,0.500
12073,0.500
12074,0.500
12075,0.500
12076,0.500
12077,0.500
12078,0.500
12079,0.500
12080,0.500
12081,0.500
12082,0.500
12083,0.500
12084,0.500
12085,0.500
12086,0.500
12087,0.500
12088,0.500
12089,0.500
12090,0.500
12091,0.500
12092,0.500
12093,0.500
12094,0.500
12095,0.500
12096,0.500
12097,0.500
12098,0.500
12099,0.500
12100,0.500
12101,0.500
12102,0.500
12103,0.500
12104,0.500
12105,0.500
12106,0.500
12107,0.500
12108,0.500
12109,0.500
12110,0.500
12111,0.500
12112,0.500
12113,0.500
12114,0.500
12115,0.500
12116,0.500
12117,0.500
12118,0.500
12119,0.500
12120,0.500
12121,0.500
12122,0.500
12123,0.500
12124,0.500
12125,0.500
12126,0.500
12127,0.500
12128,0.500
12129,0.500
12130,0.500
12131,0.500
12132,0.500
12133,0.500
12134,0.500
12135,0.500
12136,0.500
12137,0.500
12138,0.500
12139,0.500
12140,0.500
12141,0.500
12142,0.500
12143,0.500
12144,0.500
12145,0.500
12146,0.500
12147,0.500
12148,0.500
12149,0.500
12150,0.500
12151,0.500
12152,0.500
12153,0.500
12154,0.500
12155,0.500
12156,0.500
12157,0.500
12158,0.500
12159,0.500
12160,0.500
12161,0.500
12162,0.500
12163,0.500
12164,0.500
12165,0.500
12166,0.500
12167,0.500
12168,0.500
12169,0.500
12170,0.500
12171,0.500
12172,0.500
12173,0.500
12174,0.500
12175,0.500
12176,0.500
12177,0.500
12178,0.500
12179,0.500
12180,0.500
12181,0.500
12182,0.500
12183,0.500
12184,0.500
12185,0.500
12186,0.500
12187,0.500
12188,0.500
12189,0.500
12190,0.500
12191,0.500
12192,0.500
12193,0.500
12194,0.500
12195,0.500
12196,0.500
12197,0.500
12198,0.500
12199,0.500
12200,0.500
12201,0.500
12202,0.500
12203,0.500
12204,0.500
12205,0.500
12206,0.500
12207,0.500
12208,0.500
12209,0.500
12210,0.500
12211,0.500
12212,0.500
12213,0.500
12214,0.500
12215,0.500
12216,0.500
12217,0.500
12218,0.500
12219,0.500
12220,0.500
12221,0.500
12222,0.500
12223,0.500
12224,0.500
12225,0.500
12226,0.500
12227,0.500
12228,0.500
12229,0.500
12230,0.500
12231,0.500
12232,0.500
12233,0.500
12234,0.500
12235,0.500
12236,0.500
12237,0.500
12238,0.500
12239,0.500
12240,0.500
12241,0.500
12242,0.500
12243,0.500
12244,0.500
12245,0.500
12246,0.500
12247,0.500
12248,0.500
12249,0.500
12250,0.500
12251,0.500
12252,0.500
12253,0.500
12254,0.500
12255,0.500
12256,0.500
12257,0.500
12258,0.500
12259,0.500
12260,0.500
12261,0.500
12262,0.500
12263,0.500
12264,0.500
12265,0.500
12266,0.500
12267,0.500
12268,0.500
12269,0.500
12270,0.500
12271,0.500
12272,0.500
12273,0.500
